機構代碼,機構名稱,權屬別,型態別,縣市鄉鎮,電話,地址,診療科別,西醫生,中醫師,牙醫師,藥師,藥劑生,護理師,護士,助產士,助產師,醫事檢驗師,醫事檢驗生,物理治療師,職能治療師,醫事放射師,醫事放射士,物理治療生,呼吸治療師,職能治療生,諮商心理師,臨床心理師,營養師,語言治療師,牙體技術師,聽力師,牙體技術生,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3838020119,十方中醫診所,私立中醫診所,中醫一般診所,南投縣埔里鎮,049-2996279,南投縣埔里鎮西安路一段３３５號,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3838020128,濟生中醫診所,私立中醫診所,中醫一般診所,南投縣埔里鎮,049-2900719,南投縣埔里鎮中正路４３５號,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3838021161,大眾中醫診所,私立中醫診所,中醫一般診所,南投縣埔里鎮,049-2995333,南投縣埔里鎮南昌街202號,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3838021198,隆昇中醫診所,私立中醫診所,中醫一般診所,南投縣埔里鎮,049-2998003,南投縣埔里鎮隆生路81號,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3838021223,元濟中醫診所,私立中醫診所,中醫一般診所,南投縣埔里鎮,049-2906386,南投縣埔里鎮中正路531號二樓,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3838021241,普仁中醫診所,私立中醫診所,中醫診所,南投縣埔里鎮,049-2930373,南投縣埔里鎮東峰路19號,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3838030026,明山中醫診所,私立中醫診所,中醫專科診所,南投縣草屯鎮,049-2334377,南投縣草屯鎮炎峰街１７號,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3838030071,蒼生中醫診所,私立中醫診所,中醫一般診所,南投縣草屯鎮,049-2334747,南投縣草屯鎮草溪路９５９號,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3838030213,北大中醫診所,私立中醫診所,中醫一般診所,南投縣草屯鎮,049-2356279,南投縣草屯鎮中山街466號,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3838030277,佳仁堂中醫診所,私立中醫診所,中醫一般診所,南投縣草屯鎮,049-2320938,南投縣草屯鎮中正路６８５號,,,3,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3837081154,豐田中醫診所,私立中醫診所,中醫一般診所,彰化縣二林鎮,04 8957909,彰化縣二林鎮豐田里大成路一段59號、59-1號,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3837081181,德桂中醫診所,私立中醫診所,中醫一般診所,彰化縣二林鎮,04 8958388,彰化縣二林鎮豐田里南安路30號,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3837091034,品豪中醫診所,私立中醫診所,中醫診所,彰化縣線西鄉,04-7585999,彰化縣線西鄉沿海路一段８１２之１號,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3837100029,陳增智中醫診所,私立中醫診所,中醫一般診所,彰化縣伸港鄉,047990790,彰化縣伸港鄉新港村忠孝路２５號,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3837101080,榮脩中醫診所,私立中醫診所,中醫診所,彰化縣伸港鄉,04-7985377,彰化縣伸港鄉中山路６５號,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3837121064,昌德中醫診所,私立中醫診所,中醫一般診所,彰化縣秀水鄉,047691539,彰化縣秀水鄉福安村中山路五二九號,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3837121073,祥賀中醫診所,私立中醫診所,中醫一般診所,彰化縣秀水鄉,047699768,彰化縣秀水鄉中山路335號,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3837121082,佶昌中醫診所,私立中醫診所,中醫一般診所,彰化縣秀水鄉,04 7692547,彰化縣秀水鄉彰水路二段三號,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3837130063,顧安中醫診所,私立中醫診所,中醫一般診所,彰化縣花壇鄉,047875859,彰化縣花壇鄉北口村中山路二段６３６號一、二樓,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3837131079,佳仁堂中醫診所,私立中醫診所,中醫一般診所,彰化縣花壇鄉,047880251,彰化縣花壇鄉中山路二段六十、六十二號,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3837131097,彰芳中醫診所,私立中醫診所,中醫一般診所,彰化縣花壇鄉,04 7879978,彰化縣花壇鄉中山路二段五五一號,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3837140023,濟生中醫診所,私立中醫診所,中醫一般診所,彰化縣芬園鄉,049521756,彰化縣芬園鄉社口村清水路四十六號,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3837140041,存德中醫診所,私立中醫診所,中醫一般診所,彰化縣芬園鄉,049522452,彰化縣芬園鄉社口村芬草路二段２８４巷９號,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3837041089,人和堂中醫診所,私立中醫診所,中醫一般診所,彰化縣北斗鎮,04-8889138,彰化縣北斗鎮後溪巷9號1樓,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3837041098,寶田中醫診所,私立中醫診所,中醫一般診所,彰化縣北斗鎮,04-8872153,彰化縣北斗鎮中華路260號,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3837041105,勢登中醫診所,私立中醫診所,中醫診所,彰化縣北斗鎮,04-8872347,彰化縣北斗鎮斗苑路一段９４號,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3837050033,進安中醫診所,私立中醫診所,中醫一般診所,彰化縣員林市,04 8329311,彰化縣員林市中正路１３２號,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3837050042,邱利生內科外科中醫診所,私立中醫診所,中醫專科診所,彰化縣員林市,04 8321321,彰化縣員林市中正路２４７號,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3837050097,順規中醫診所,私立中醫診所,中醫一般診所,彰化縣員林市,04 8320421,彰化縣員林市惠來里光明南街47號1樓,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3837050122,萬德堂中醫診所,私立中醫診所,中醫一般診所,彰化縣員林市,04 8359395,彰化縣員林市莒光路３７０號,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3837050168,建安中醫診所,私立中醫診所,中醫專科診所,彰化縣員林市,04 8321130,彰化縣員林市中正路２９７、２９９號一樓,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3837050186,許文輝中醫診所,私立中醫診所,中醫一般診所,彰化縣員林市,04 8326909,彰化縣員林市民生里永昌街７號,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3837050202,順星中醫診所,私立中醫診所,中醫一般診所,彰化縣員林市,04 8354502,彰化縣員林市育英路５８０號,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
